51.158.154.173:3128|NL
85.14.243.31:3128|DE
194.87.188.114:8000|TR
95.56.254.139:3128|KZ
194.169.167.5:8080|RS
51.159.115.233:3128|FR
102.68.135.129:8080|LY
185.15.172.212:3128|RU
178.150.148.38:8282|UA
181.129.49.214:999|CO
118.27.113.167:8080|JP
105.112.191.250:3128|NG
61.7.146.7:80|TH
115.144.101.200:10000|KR
158.69.52.218:9300|LU
144.217.7.157:5566|US
200.105.215.22:33630|BO
61.220.170.133:8000|TW
128.199.67.35:80|SG
202.40.177.69:80|BD
134.0.63.134:8000|AL
79.172.212.99:3128|HU
161.35.223.141:80|DE
115.144.109.179:10000|KR
14.161.26.100:8080|VN
188.133.154.16:8080|RU
5.189.184.6:80|DE
190.109.16.145:999|CO
181.129.74.58:40667|CO
5.189.146.57:80|DE
174.108.200.2:8080|US
139.99.236.128:3128|AU
103.187.74.17:8080|IN
103.168.58.47:3128|VN
157.230.88.212:3128|US
143.198.182.218:80|US
176.99.2.43:1081|RU
